"","samplename","platform","label","obervations","batch","bigfamily","family","celltype","coarsegrain","finegrain","treatment","In","In_opt","In_opt2","FINAL"
"SRR925691","SRR925691","Illumina Genome Analyzer IIx","breast cancer","21NT","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925692","SRR925692","Illumina Genome Analyzer IIx","breast cancer","21PT","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925693","SRR925693","Illumina Genome Analyzer IIx","breast cancer","600MPE","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925694","SRR925694","Illumina Genome Analyzer IIx","breast cancer","AU565","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925695","SRR925695","Illumina Genome Analyzer IIx","breast cancer","BT474","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925696","SRR925696","Illumina Genome Analyzer IIx","breast cancer","BT483","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925697","SRR925697","Illumina Genome Analyzer IIx","breast cancer","BT549","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925698","SRR925698","Illumina Genome Analyzer IIx","breast cancer","CAMA1","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925699","SRR925699","Illumina Genome Analyzer IIx","breast cancer","EFM192A","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925700","SRR925700","Illumina Genome Analyzer IIx","breast cancer","EFM192B","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925701","SRR925701","Illumina Genome Analyzer IIx","breast cancer","EFM192C","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925702","SRR925702","Illumina Genome Analyzer IIx","breast cancer","HCC1143","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925703","SRR925703","Illumina Genome Analyzer IIx","breast cancer","HCC1395","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925704","SRR925704","Illumina Genome Analyzer IIx","breast cancer","HCC1419","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925705","SRR925705","Illumina Genome Analyzer IIx","breast cancer","HCC1428","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925706","SRR925706","Illumina Genome Analyzer IIx","breast cancer","HCC1569","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925707","SRR925707","Illumina Genome Analyzer IIx","breast cancer","HCC1599","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925708","SRR925708","Illumina Genome Analyzer IIx","breast cancer","HCC1806","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925709","SRR925709","Illumina Genome Analyzer IIx","breast cancer","HCC1937","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925710","SRR925710","Illumina Genome Analyzer IIx","breast cancer","HCC1954","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925711","SRR925711","Illumina Genome Analyzer IIx","breast cancer","HCC202","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925713","SRR925713","Illumina Genome Analyzer IIx","breast cancer","HCC3153","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925714","SRR925714","Illumina Genome Analyzer IIx","breast cancer","HCC38","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925715","SRR925715","Illumina Genome Analyzer IIx","breast cancer","HCC70","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925716","SRR925716","Illumina Genome Analyzer IIx","breast cancer","HS578T","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925717","SRR925717","Illumina Genome Analyzer IIx","breast cancer","JIMT1","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925718","SRR925718","Illumina Genome Analyzer IIx","breast cancer","LY2","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925719","SRR925719","Illumina Genome Analyzer IIx","breast cancer","MB157","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925720","SRR925720","Illumina Genome Analyzer IIx","breast cancer","MCF10A","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925721","SRR925721","Illumina Genome Analyzer IIx","breast cancer","MCF10F","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925723","SRR925723","Illumina Genome Analyzer IIx","breast cancer","MCF7","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR925724","SRR925724","Illumina Genome Analyzer IIx","breast cancer","MDAMB134VI","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR925725","SRR925725","Illumina Genome Analyzer IIx","breast cancer","MDAMB175","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR925726","SRR925726","Illumina Genome Analyzer IIx","breast cancer","MDAMB231","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR925727","SRR925727","Illumina Genome Analyzer IIx","breast cancer","MDAMB361","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR925728","SRR925728","Illumina Genome Analyzer IIx","breast cancer","MX1","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR925729","SRR925729","Illumina Genome Analyzer IIx","breast cancer","SKBR3","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR925734","SRR925734","Illumina Genome Analyzer IIx","breast cancer","SUM229PE","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR925735","SRR925735","Illumina Genome Analyzer IIx","breast cancer","SUM52PE","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR925736","SRR925736","Illumina Genome Analyzer IIx","breast cancer","T47D","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR925737","SRR925737","Illumina Genome Analyzer IIx","breast cancer","T47D Kbluc","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR925740","SRR925740","Illumina Genome Analyzer IIx","breast cancer","ZR751","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR925741","SRR925741","Illumina Genome Analyzer IIx","breast cancer","ZR7530","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR925742","SRR925742","Illumina Genome Analyzer IIx","breast cancer","ZR75B","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR934631","SRR934631","Illumina Genome Analyzer IIx","breast cancer","HCC2218","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR934632","SRR934632","Illumina Genome Analyzer IIx","breast cancer","HCC2218","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR934633","SRR934633","Illumina Genome Analyzer IIx","breast cancer","HCC2218","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR934634","SRR934634","Illumina Genome Analyzer IIx","breast cancer","MCF12A","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR934635","SRR934635","Illumina Genome Analyzer IIx","breast cancer","MCF12A","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR934636","SRR934636","Illumina Genome Analyzer IIx","breast cancer","SUM1315","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR934637","SRR934637","Illumina Genome Analyzer IIx","breast cancer","SUM1315","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR934638","SRR934638","Illumina Genome Analyzer IIx","breast cancer","SUM149PT","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR934639","SRR934639","Illumina Genome Analyzer IIx","breast cancer","SUM149PT","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR934640","SRR934640","Illumina Genome Analyzer IIx","breast cancer","SUM225CWN","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR934641","SRR934641","Illumina Genome Analyzer IIx","breast cancer","SUM225CWN","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR934642","SRR934642","Illumina Genome Analyzer IIx","breast cancer","UACC812","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR934643","SRR934643","Illumina Genome Analyzer IIx","breast cancer","UACC812","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR934644","SRR934644","Illumina Genome Analyzer IIx","breast cancer","UACC893","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR934645","SRR934645","Illumina Genome Analyzer IIx","breast cancer","UACC893","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR1014762","SRR1014762","Illumina HiSeq 2000","primary skin fibroblast_early timepoint","no_treament","SRP031776","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR1014763","SRR1014763","Illumina HiSeq 2000","primary skin fibroblast_early timepoint","no_treament","SRP031776","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR1014764","SRR1014764","Illumina HiSeq 2000","primary skin fibroblast_early timepoint","no_treament","SRP031776","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR1014765","SRR1014765","Illumina HiSeq 2000","primary skin fibroblast_early timepoint","no_treament","SRP031776","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR1014766","SRR1014766","Illumina HiSeq 2000","primary skin fibroblast_early timepoint","no_treament","SRP031776","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR1014767","SRR1014767","Illumina HiSeq 2000","primary skin fibroblast_early timepoint","no_treament","SRP031776","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR1014772","SRR1014772","Illumina HiSeq 2000","primary skin fibroblast_late timepoint","no_treament","SRP031776","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR1014773","SRR1014773","Illumina HiSeq 2000","primary skin fibroblast_late timepoint","no_treament","SRP031776","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR1014774","SRR1014774","Illumina HiSeq 2000","primary skin fibroblast_late timepoint","no_treament","SRP031776","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR1014775","SRR1014775","Illumina HiSeq 2000","primary skin fibroblast_late timepoint","no_treament","SRP031776","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR1014776","SRR1014776","Illumina HiSeq 2000","primary skin fibroblast_late timepoint","no_treament","SRP031776","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR1014777","SRR1014777","Illumina HiSeq 2000","primary skin fibroblast_late timepoint","no_treament","SRP031776","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR1531314","SRR1531314","Illumina Genome Analyzer IIx","naive CD4T","None","SRP045052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","Train","Test","No","No"
"SRR1531316","SRR1531316","Illumina Genome Analyzer IIx","memory CD4T","None","SRP045052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no","Train","Test","No","No"
"SRR1531318","SRR1531318","Illumina Genome Analyzer IIx","naive CD4T","None","SRP045052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","Train","Test","No","No"
"SRR1531319","SRR1531319","Illumina Genome Analyzer IIx","naive CD4T","None","SRP045052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","Train","Test","No","No"
"SRR1531322","SRR1531322","Illumina Genome Analyzer IIx","memory CD4T","None","SRP045052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no","Train","Test","No","No"
"SRR1531323","SRR1531323","Illumina Genome Analyzer IIx","memory CD4T","None","SRP045052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no","Train","Test","No","No"
"SRR1976436","SRR1976436","Illumina HiSeq 2500","endothelial","control HUVEC","SRP057251","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","no","Test","Test","Test","Test"
"SRR1976437","SRR1976437","Illumina HiSeq 2500","endothelial","control HUVEC","SRP057251","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","no","Test","Test","Test","Test"
"SRR1976438","SRR1976438","Illumina HiSeq 2500","endothelial","control HUVEC","SRP057251","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","no","Test","Test","Test","Test"
"SRR1976427","SRR1976427","Illumina HiSeq 2500","fibroblasts","Colon Normal Fibroblasts","SRP057251","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Test","Train","Test","Test"
"SRR1976428","SRR1976428","Illumina HiSeq 2500","fibroblasts","Colon Normal Fibroblasts","SRP057251","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Test","Train","Test","Test"
"SRR1976429","SRR1976429","Illumina HiSeq 2500","fibroblasts","Colon Normal Fibroblasts","SRP057251","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Test","Train","Test","Test"
"SRR1976430","SRR1976430","Illumina HiSeq 2500","fibroblasts","Colon Tumor Fibroblasts","SRP057251","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Test","Train","Test","Test"
"SRR1976431","SRR1976431","Illumina HiSeq 2500","fibroblasts","Colon Tumor Fibroblasts","SRP057251","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Test","Train","Test","Test"
"SRR1976432","SRR1976432","Illumina HiSeq 2500","fibroblasts","Colon Tumor Fibroblasts","SRP057251","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Test","Train","Test","Test"
"SRR1976433","SRR1976433","Illumina HiSeq 2500","fibroblasts","Dermal Normal Fibroblasts","SRP057251","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Test","Train","Test","Test"
"SRR1976434","SRR1976434","Illumina HiSeq 2500","fibroblasts","Dermal Normal Fibroblasts","SRP057251","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Test","Train","Test","Test"
"SRR1976435","SRR1976435","Illumina HiSeq 2500","fibroblasts","Dermal Normal Fibroblasts","SRP057251","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Test","Train","Test","Test"
"SRR5145524","SRR5145524","Illumina HiSeq 2000","Macrophage","no_treament","SRP096073","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR5145525","SRR5145525","Illumina HiSeq 2000","Macrophage","no_treament","SRP096073","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR5145526","SRR5145526","Illumina HiSeq 2000","Macrophage","no_treament","SRP096073","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR5145527","SRR5145527","Illumina HiSeq 2000","Macrophage","no_treament","SRP096073","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR5145528","SRR5145528","Illumina HiSeq 2000","Macrophage","no_treament","SRP096073","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR5145529","SRR5145529","Illumina HiSeq 2000","Macrophage","no_treament","SRP096073","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR5145530","SRR5145530","Illumina HiSeq 2000","Macrophage","no_treament","SRP096073","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR5145531","SRR5145531","Illumina HiSeq 2000","Macrophage","no_treament","SRP096073","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR5145532","SRR5145532","Illumina HiSeq 2000","Macrophage","no_treament","SRP096073","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SAMN07173078","SAMN07173078","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173079","SAMN07173079","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173080","SAMN07173080","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173081","SAMN07173081","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173082","SAMN07173082","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173083","SAMN07173083","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173084","SAMN07173084","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173085","SAMN07173085","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173086","SAMN07173086","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173087","SAMN07173087","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173093","SAMN07173093","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173094","SAMN07173094","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173095","SAMN07173095","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173096","SAMN07173096","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173097","SAMN07173097","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173098","SAMN07173098","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173099","SAMN07173099","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173100","SAMN07173100","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173101","SAMN07173101","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173102","SAMN07173102","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173103","SAMN07173103","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173104","SAMN07173104","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173105","SAMN07173105","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173106","SAMN07173106","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173107","SAMN07173107","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173108","SAMN07173108","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173109","SAMN07173109","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173110","SAMN07173110","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173111","SAMN07173111","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173112","SAMN07173112","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Latent tuberculosis infection","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173113","SAMN07173113","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173114","SAMN07173114","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173115","SAMN07173115","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173116","SAMN07173116","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173117","SAMN07173117","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173118","SAMN07173118","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173119","SAMN07173119","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173120","SAMN07173120","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN07173121","SAMN07173121","Illumina HiSeq 2500","Memory CD3+CD4+ T cells","Healthy","SRP108135","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SRR6298273","SRR6298273","Illumina HiSeq 2000","Naive B cells","healthy","SRP125125","Immune","B","naive.B.cells","B.cells","naive.B.cells","no","Train","Test","No","No"
"SRR6298274","SRR6298274","Illumina HiSeq 2000","Non-switched memory B cells","healthy","SRP125125","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","Train","Test","No","No"
"SRR6298275","SRR6298275","Illumina HiSeq 2000","Exhausted B cells","healthy","SRP125125","Immune","B","B.cells","B.cells","other","no","Train","Test","No","No"
"SRR6298276","SRR6298276","Illumina HiSeq 2000","Switched memory B cells","healthy","SRP125125","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","Train","Test","No","No"
"SRR6298277","SRR6298277","Illumina HiSeq 2000","Plasmablasts","healthy","SRP125125","Immune","B","Plasmablasts","B.cells","other","no","Train","Test","No","No"
"SRR6298302","SRR6298302","Illumina HiSeq 2000","Naive B cells","healthy","SRP125125","Immune","B","naive.B.cells","B.cells","naive.B.cells","no","Train","Test","No","No"
"SRR6298303","SRR6298303","Illumina HiSeq 2000","Non-switched memory B cells","healthy","SRP125125","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","Train","Test","No","No"
"SRR6298304","SRR6298304","Illumina HiSeq 2000","Exhausted B cells","healthy","SRP125125","Immune","B","B.cells","B.cells","other","no","Train","Test","No","No"
